gene,rank,weighted_lfc,direction_consistency
ITPRIP,75,0.988030840031875,1
HKDC1,76,0.744973083031772,1
C2CD4B,77,2.21038264300518,0.666666666666667
DPP6,78,2.23811817310889,0.666666666666667
RIPK4,79,1.34170227577826,1
BTG1,80,0.36218074913487,0.666666666666667
LBP,81,1.49460669171122,1
ABCD3,82,-0.296937077557789,0.666666666666667
RRP12,83,0.377258172197863,1
RGS16,84,1.94222833147326,0.666666666666667
PUS3,85,0.238913080478533,1
CLDN4,86,1.45130890752149,0.666666666666667
CHD2,87,0.251191612456694,1
ELF3,88,1.67381490041078,0.666666666666667
NDN,89,-0.413747473094982,1
HIST4H4,90,0.625349625650651,0.666666666666667
CHORDC1,91,0.917209975454238,1
IL32,92,1.02458090583923,1
HSD17B7P2,93,1.61099203009107,0.666666666666667
AGT,94,1.1124358591113,1
ZNF460,95,0.812295891522714,1
LIF,96,1.30710968944853,1
JUND,97,1.90499012421882,1
NR0B2,98,1.53890635148784,1
KDM6B,99,0.591704637495241,1
EIF4A1,100,0.849171809901388,1
TMEM19,101,-0.535037371299465,0.666666666666667
PPRC1,102,0.523182513054171,1
PMM2,103,0.313119615410899,1
LMNA,104,0.720712225287493,1
DIABLO,105,0.246363665508236,1
FOSL1,106,2.11321318303969,1
CREB5,107,0.952744981321141,1
FGA,108,1.83353803711691,1
HBEGF,109,2.53728095726144,1
FBXO21,110,-0.597734048633709,0.666666666666667
PTP4A1,111,0.679047247756125,1
G6PC,112,-0.814204180487977,0.666666666666667
MAP3K14,113,0.822811622149696,1
LPCAT3,114,0.420267928705032,1
ASF1A,115,-0.266797887518744,1
GABARAPL1,116,0.651321683396984,1
PPP1R3B,117,0.718585207434022,0.666666666666667
WDR33,118,0.239907981077793,1
CACYBP,119,0.527322417428484,1
LSM3,120,-0.289651223948747,0.666666666666667
RABGGTB,121,-0.185898752075413,0.666666666666667
CD69,122,1.84843527470091,0.666666666666667
NEBL,123,-0.421660080393116,1
IRS2,124,0.392806094513894,0.666666666666667
LEAP2,125,1.11768712168189,1
SQLE,126,0.655530579080701,0.666666666666667
IL1RL1,127,1.46330664781963,0.666666666666667
EDN1,128,0.928129567753615,0.666666666666667
ST7,129,-0.0370646961006438,0.666666666666667
HPGD,130,0.489856651474743,0.666666666666667
RASSF4,131,0.743287065488395,1
ERRFI1,132,1.37891726214869,0.666666666666667
KLF6,133,2.22227749239986,1
ICAM1,134,0.988161614244403,0.666666666666667
BIRC3,135,1.22594740013658,0.666666666666667
DDN,136,3.19072023870761,0.666666666666667
CXCL1,137,1.06363467391162,0.666666666666667
NOP2,138,0.295219328177564,1
INSIG1,139,0.440897318302197,0.666666666666667
ABHD10,140,-0.545966990406458,0.666666666666667
CCT6A,141,0.319015907115295,1
MXD1,142,1.4660959237372,1
PNRC1,143,0.74822191113253,1
UGT1A6,144,0.329486628867677,1
ZNF823,145,0.294507405614623,0.666666666666667
NOP58,146,0.444072868451809,1
DUSP1,147,3.20365330389964,1
TCP1,148,0.43302840190155,1
ARL5B,149,1.13573061748654,1
DNAJB11,150,0.692105483275227,1
S100A9,151,0.999737170951573,0.666666666666667
RANBP6,152,1.10243517158762,0.666666666666667
HIST1H2BG,153,0.973658664857657,0.666666666666667
CX3CL1,154,0.643810373045538,0.666666666666667
EMCN,155,-0.361066923626853,0.666666666666667
HIST2H2BE,156,0.740898815517201,0.666666666666667
NFKBIZ,157,2.34052297206646,0.666666666666667
SERTAD3,158,0.835670079917498,0.666666666666667
NFKBIE,159,0.698135418871594,0.666666666666667
NR1D1,160,1.32932057027921,0.666666666666667
TNFAIP3,161,1.79631030949705,1
